!Property,!Text,!Note
AppName,Sidebar Diagnostics,Name of the app
ButtonApply,Apply,Text of the apply button
ButtonCancel,Cancel,Text of the cancel button
ButtonClose,Close,Text of the close button
ButtonDonate,Donate,Text of the donate button
ButtonDone,Done,Text of the done button
ButtonGitHub,GitHub,Text of the GitHub button
ButtonGraph,Graph,Text of the graph button
ButtonHide,Hide,Text of the hide button
ButtonNo,No,Text of the no button
ButtonReload,Reload,Text of the reload button
ButtonSave,Save,Text of the save button
ButtonSettings,Settings,Text of the settings button
ButtonShow,Show,Text of the show button
ButtonSkip,Skip,Text of the skip button
ButtonUpdate,Update,Text of the update button
ButtonVisibility,Visibility,Text of the visibility button
ButtonYes,Yes,Text of the yes button
ChangeLogTitle,Change Log,Title of the change log window
CPU,CPU,CPU monitor title
CPUClock,Clock,Full name for CPU clock metric
CPUClockLabel,Clock,Short label for CPU clock metric
CPUCoreClock,Core Clock,Full name for CPU core clock metric
CPUCoreClockLabel,Core,Short label for CPU core clock metric
CPUCoreLoad,Core Load,Full name for CPU core load metric
CPUCoreLoadLabel,Core,Short label for CPU core load metric
CPUFan,Fan Usage,Full name for CPU fan metric
CPUFanLabel,Fan,Short label for CPU fan metric
CPULoad,Load,Full name for CPU load metric
CPULoadLabel,Load,Short label for CPU load metric
CPUTemp,Temperature,Full name for CPU temp metric
CPUTempLabel,Temp,Short label for CPU temp metric
CPUVoltage,Voltage,Full name for CPU voltage metric
CPUVoltageLabel,Voltage,Short label for CPU voltage metric
DriveFree,Free,Full name for drive free metric
DriveFreeLabel,Free,Short label for drive free metric
DriveLoad,Load,Full name for drive load metric
DriveLoadBar,Load Bar,Full name for drive load bar metric
DriveLoadBarLabel,Load,Short label for drive load bar metric
DriveLoadLabel,Load,Short label for drive load metric
DriveRead,Read Rate,Full name for drive read metric
DriveReadLabel,Read,Short label for drive read metric
Drives,Drives,Drives monitor title
DriveUsed,Used,Full name for drive used metric
DriveUsedLabel,Used,Short label for drive used metric
DriveWrite,Write Rate,Full name for drive write metric
DriveWriteLabel,Write,Short label for drive write metric
ErrorPerformanceCounter,Your Performance Counter cache is corrupted. Click OK to visit the wiki and fix this error.,Text of the performance counter error
ErrorTitle,Sidebar Error,Title of the error popup
GPU,GPU,GPU monitor title
GPUCoreClock,Core Clock,Full name for GPU core clock metric
GPUCoreClockLabel,Core,Short label for RAM core clock metric
GPUCoreLoad,Core Load,Full name for GPU core load metric
GPUCoreLoadLabel,Core,Short label for GPU core load metric
GPUFan,Fan Usage,Full name for GPU fan metric
GPUFanLabel,Fan,Short label for GPU voltage metric
GPUTemp,Temperature,Full name for GPU temp metric
GPUTempLabel,Temp,Short label for GPU temp metric
GPUVoltage,Voltage,Full name for GPU voltage metric
GPUVoltageLabel,Voltage,Short label for GPU voltage metric
GPUVRAMClock,VRAM Clock,Full name for GPU VRAM clock metric
GPUVRAMClockLabel,VRAM,Short label for GPU VRAM clock metric
GPUVRAMLoad,VRAM Load,Full name for GPU VRAM load metric
GPUVRAMLoadLabel,VRAM,Short label for GPU VRAM load metric
GraphConfigSectionTitle,Config,Title of the config section in the graph window
GraphDuration,Duration,Graph config duration label
GraphDurationMinute,Minute,Graph duration minute
GraphDurationMinutes,Minutes,Graph duration minutes plural
GraphDurationSeconds,Seconds,Graph duration seconds
GraphHardware,Hardware,Graph config hardware label
GraphMetrics,Metrics,Graph config metrics label
GraphMonitor,Monitor,Graph config monitor label
