!Property,!Text,!Note
AppName,Sidebar Diagnostics,Name of the app
ButtonApply,Appliquer,Text of the apply button
ButtonCancel,Annuler,Text of the cancel button
ButtonClose,Fermer,Text of the close button
ButtonDonate,Faire un don,Text of the donate button
ButtonDone,Termin‚,Text of the done button
ButtonGitHub,GitHub,Text of the GitHub button
ButtonGraph,Graph,Text of the graph button
ButtonHide,Cacher,Text of the hide button
ButtonNo,Non,Text of the no button
ButtonReload,Recharger,Text of the reload button
ButtonSave,Sauvegarder,Text of the save button
ButtonSettings,R‚glages,Text of the settings button
ButtonShow,Montrer,Text of the show button
ButtonSkip,Sauter,Text of the skip button
ButtonUpdate,Mise … jour,Text of the update button
ButtonVisibility,Visibilit‚,Text of the visibility button
ButtonYes,Oui,Text of the yes button
ChangeLogTitle,Notes de mise … jour,Title of the change log window
CPU,CPU,CPU monitor title
CPUClock,Fr‚quence,Full name for CPU clock metric
CPUClockLabel,Fr‚quence,Short label for CPU clock metric
CPUCoreClock,Fr‚quence du c?ur,Full name for CPU core clock metric
CPUCoreClockLabel,C?ur,Short label for CPU core clock metric
CPUCoreLoad,Chargement du c?ur,Full name for CPU core load metric
CPUCoreLoadLabel,C?ur,Short label for CPU core load metric
CPUFan,Utilisation ventilateur,Full name for CPU fan metric
CPUFanLabel,Ventilateur,Short label for CPU fan metric
CPULoad,Chargement,Full name for CPU load metric
CPULoadLabel,Chargement,Short label for CPU load metric
CPUTemp,Temp‚rature,Full name for CPU temp metric
CPUTempLabel,Temp,Short label for CPU temp metric
CPUVoltage,Voltage,Full name for CPU voltage metric
CPUVoltageLabel,Voltage,Short label for CPU voltage metric
DriveFree,Libre,Full name for drive free metric
DriveFreeLabel,Libre,Short label for drive free metric
DriveLoad,Charge,Full name for drive load metric
DriveLoadBar,Barre de charge,Full name for drive load bar metric
DriveLoadBarLabel,Charge,Short label for drive load bar metric
DriveLoadLabel,Charge,Short label for drive load metric
DriveRead,Vitesse de lecture,Full name for drive read metric
DriveReadLabel,Lectures,Short label for drive read metric
Drives,Disques Durs,Drives monitor title
DriveUsed,Utilis‚,Full name for drive used metric
DriveUsedLabel,Utilis‚,Short label for drive used metric
DriveWrite,Vitesse d'‚criture,Full name for drive write metric
DriveWriteLabel,Ecriture,Short label for drive write metric
ErrorPerformanceCounter,Your Performance Counter cache is corrupted. Click OK to visit the wiki and fix this error.,Text of the performance counter error
ErrorTitle,Erreur de la Sidebar,Title of the error popup
GPU,GPU,GPU monitor title
GPUCoreClock,Fr‚quence du c?ur,Full name for GPU core clock metric
GPUCoreClockLabel,C?ur,Short label for RAM core clock metric
GPUCoreLoad,Chargement du c?ur,Full name for GPU core load metric
GPUCoreLoadLabel,C?ur,Short label for GPU core load metric
GPUFan,Utilisation ventilateur,Full name for GPU fan metric
GPUFanLabel,Ventilateur,Short label for GPU voltage metric
GPUTemp,Temp‚rature,Full name for GPU temp metric
GPUTempLabel,Temp,Short label for GPU temp metric
GPUVoltage,Voltage,Full name for GPU voltage metric
GPUVoltageLabel,Voltage,Short label for GPU voltage metric
GPUVRAMClock,Fr‚quence VRAM,Full name for GPU VRAM clock metric
GPUVRAMClockLabel,VRAM,Short label for GPU VRAM clock metric
GPUVRAMLoad,Chargement VRAM,Full name for GPU VRAM load metric
GPUVRAMLoadLabel,VRAM,Short label for GPU VRAM load metric
GraphConfigSectionTitle,Config,Title of the config section in the graph window
GraphDuration,Dur‚e,Graph config duration label
GraphDurationMinute,Minute,Graph duration minute
GraphDurationMinutes,Minutes,Graph duration minutes plural
GraphDurationSeconds,Secondes,Graph duration seconds
GraphHardware,Mat‚riel,Graph config hardware label
GraphMetrics,M‚triques,Graph config metrics label
GraphMonitor,Moniteur,Graph config monitor label
GraphTitle,Graph,Title of the graph window
LanguageChangedText,Merci de relancer l'application.,Text of the language changed popup
LanguageChangedTitle,Langue chang‚e,Title of the language changed popup
Network,R‚seau,Network monitor title
NetworkIn,Bande passante entrante,Full name for network in metric
NetworkInLabel,Entrant,Short label for network in metric
NetworkOut,Bande passante sortante,Full name for network out metric
NetworkOutLabel,Sortant,Short label for network out metric
RAM,RAM,RAM monitor title
RAMClock,Fr‚quence,Full name for RAM clock metric
RAMClockLabel,Fr‚quence,Short label for RAM clock metric
RAMFree,Libre,Full name for RAM free metric
RAMFreeLabel,Libre,Short label for RAM free metric
RAMLoad,Charge,Full name for RAM load metric
RAMLoadLabel,Charge,Short label for RAM load metric
RAMUsed,Occup‚e,Full name for RAM load metric
RAMUsedLabel,Occup‚e,Short label for RAM used metric
RAMVoltage,Voltage,Full name for RAM voltage metric
RAMVoltageLabel,Voltage,Short label for RAM voltage metric
Settings24HourClock,Format 24 heures,Settings 24 hour clock label
Settings24HourClockTooltip,Change le format d'heure … 24 heures,Settings 24 hour clock tooltip
SettingsAdvancedTab,Avanc‚e,Title of the settings advanced tab
SettingsAlertFontColor,Couleur de la police d'alerte.,Settings alert font color label
SettingsAlertFontColorTooltip,Couleur du texte d'alerte.,Settings alert font color tooltip
SettingsAllCoreClocks,Afficher la fr‚quence de tous les c?urs,Settings all core clocks label
