!Property,!Text,!Note
AppName,Sidebar Diagnostics,Name of the app
ButtonApply,Aplicar,Text of the apply button
ButtonCancel,Cancelar,Text of the cancel button
ButtonClose,Fechar,Text of the close button
ButtonDonate,Doar,Text of the donate button
ButtonDone,Feito,Text of the done button
ButtonGitHub,GitHub,Text of the GitHub button
ButtonGraph,Gráfico,Text of the graph button
ButtonHide,Esconder,Text of the hide button
ButtonNo,Não,Text of the no button
ButtonReload,Recarregar,Text of the reload button
ButtonSave,Salvar,Text of the save button
ButtonSettings,Configurações,Text of the settings button
ButtonShow,Mostrar,Text of the show button
ButtonSkip,Pular,Text of the skip button
ButtonUpdate,Atualizar,Text of the update button
ButtonVisibility,Visibilidade,Text of the visibility button
ButtonYes,Sim,Text of the yes button
ChangeLogTitle,Log de alterações,Title of the change log window
CPU,CPU,CPU monitor title
CPUClock,Clock,Full name for CPU clock metric
CPUClockLabel,Clock,Short label for CPU clock metric
CPUCoreClock,Core Clock,Full name for CPU core clock metric
CPUCoreClockLabel,Core,Short label for CPU core clock metric
CPUCoreLoad,Core Load,Full name for CPU core load metric
CPUCoreLoadLabel,Core,Short label for CPU core load metric
CPUFan,Uso da Fan,Full name for CPU fan metric
CPUFanLabel,Fan,Short label for CPU fan metric
CPULoad,Carga,Full name for CPU load metric
CPULoadLabel,Carga,Short label for CPU load metric
CPUTemp,Temperatura,Full name for CPU temp metric
CPUTempLabel,Temp,Short label for CPU temp metric
CPUVoltage,Voltagem,Full name for CPU voltage metric
CPUVoltageLabel,Voltagem,Short label for CPU voltage metric
DriveFree,Livre,Full name for drive free metric
DriveFreeLabel,Livre,Short label for drive free metric
DriveLoad,Uso,Full name for drive load metric
DriveLoadBar,Barra de uso,Full name for drive load bar metric
DriveLoadBarLabel,Uso,Short label for drive load bar metric
DriveLoadLabel,Uso,Short label for drive load metric
DriveRead,Taxa de Leitura,Full name for drive read metric
DriveReadLabel,Leitura,Short label for drive read metric
Drives,Drives,Drives monitor title
DriveUsed,Usado,Full name for drive used metric
DriveUsedLabel,Usado,Short label for drive used metric
DriveWrite,Taxa de escrita,Full name for drive write metric
DriveWriteLabel,escrita,Short label for drive write metric
ErrorPerformanceCounter,O cache do seu contador de performance está corrompido. Clique em OK para visitar a Wiki e corrigir esse erro.,Text of the performance counter error
ErrorTitle,Sidebar Error,Title of the error popup
GPU,GPU,GPU monitor title
GPUCoreClock,Core Clock,Full name for GPU core clock metric
GPUCoreClockLabel,Core,Short label for RAM core clock metric
GPUCoreLoad,Core Load,Full name for GPU core load metric
GPUCoreLoadLabel,Core,Short label for GPU core load metric
GPUFan,Uso da Fan,Full name for GPU fan metric
GPUFanLabel,Fan,Short label for GPU voltage metric
GPUTemp,Temperatura,Full name for GPU temp metric
GPUTempLabel,Temp,Short label for GPU temp metric
GPUVoltage,Voltagem,Full name for GPU voltage metric
GPUVoltageLabel,Voltagem,Short label for GPU voltage metric
GPUVRAMClock,VRAM Clock,Full name for GPU VRAM clock metric
GPUVRAMClockLabel,VRAM,Short label for GPU VRAM clock metric
GPUVRAMLoad,Carga da VRAM,Full name for GPU VRAM load metric
GPUVRAMLoadLabel,VRAM,Short label for GPU VRAM load metric
GraphConfigSectionTitle,Configurações,Title of the config section in the graph window
