!Property,!Text,!Note
AppName,Sidebar Diagnostics,Name of the app
ButtonApply,应用,Text of the apply button
ButtonCancel,取消,Text of the cancel button
ButtonClose,关闭,Text of the close button
ButtonDonate,捐赠,Text of the donate button
ButtonDone,完成,Text of the done button
ButtonGitHub,GitHub,Text of the GitHub button
ButtonGraph,图表,Text of the graph button
ButtonHide,隐藏,Text of the hide button
ButtonNo,否,Text of the no button
ButtonReload,刷新,Text of the reload button
ButtonSave,保存,Text of the save button
ButtonSettings,设置,Text of the settings button
ButtonShow,显示,Text of the show button
ButtonSkip,跳过,Text of the skip button
ButtonUpdate,更新,Text of the update button
ButtonVisibility,可见性,Text of the visibility button
ButtonYes,是,Text of the yes button
ChangeLogTitle,升级日志,Title of the change log window
CPU,中央处理器 (CPU),CPU monitor title
CPUClock,时钟频率,Full name for CPU clock metric
CPUClockLabel,频率,Short label for CPU clock metric
CPUCoreClock,核心频率,Full name for CPU core clock metric
CPUCoreClockLabel,核心频率,Short label for CPU core clock metric
CPUCoreLoad,核心负载,Full name for CPU core load metric
CPUCoreLoadLabel,核心负载,Short label for CPU core load metric
CPUFan,风扇使用率,Full name for CPU fan metric
CPUFanLabel,风扇,Short label for CPU fan metric
CPULoad,负载,Full name for CPU load metric
CPULoadLabel,负载,Short label for CPU load metric
CPUTemp,温度,Full name for CPU temp metric
CPUTempLabel,温度,Short label for CPU temp metric
CPUVoltage,电压,Full name for CPU voltage metric
CPUVoltageLabel,电压,Short label for CPU voltage metric
DriveFree,可用空间,Full name for drive free metric
DriveFreeLabel,可用,Short label for drive free metric
DriveLoad,使用率,Full name for drive load metric
DriveLoadBar,使用率进度条,Full name for drive load bar metric
DriveLoadBarLabel,使用率,Short label for drive load bar metric
DriveLoadLabel,空间使用率,Short label for drive load metric
DriveRead,读取速率,Full name for drive read metric
DriveReadLabel,读取,Short label for drive read metric
Drives,磁盘,Drives monitor title
DriveUsed,已用,Full name for drive used metric
DriveUsedLabel,已用空间,Short label for drive used metric
DriveWrite,写入速率,Full name for drive write metric
DriveWriteLabel,写入,Short label for drive write metric
ErrorPerformanceCounter,性能统计缓存数据已损坏。 要查看如何修复此问题，请点击“好”。,Text of the performance counter error
ErrorTitle,应用程序错误,Title of the error popup
